houjin_bangou,company_name,company_website,representative,address_1,address_2,prefecture,employees,capital_amount,established_year,established_month,listing_status,business_type,industry_1,industry_2_1,industry_2_2,industry_2_3,industry_2_4,industry_2_5,industry_2_6,industry_2_7,industry_2_8,industry_2_9,industry_2_10,industry_2_11,industry_2_12,industry_2_13,industry_2_14,industry_2_15,industry_2_16,industry_2_17,industry_2_18,industry_2_19,industry_2_20
"1010403035913","ｆｒｏｎｔＬｉｎｅ合同会社",,,"港区南青山３丁目１番３６号青山丸竹ビル６Ｆ",,"東京都",,,"2025","9",,,,,,,,,,,,,,,,,,,,,,,
"1010405017579","オオサカレジデンス特定目的会社",,,"港区元赤坂１丁目１番７－１２０９号株式会社赤坂国際会計内",,"東京都",,,"2019","3",,,,,,,,,,,,,,,,,,,,,,,
"1010405019591","横浜福浦特定目的会社",,,"港区元赤坂１丁目１番７－１２０９号株式会社赤坂国際会計内",,"東京都",,,"2021","3",,,,,,,,,,,,,,,,,,,,,,,
"1010405020376","稲城特定目的会社",,,"港区元赤坂１丁目１番７－１２０９号株式会社赤坂国際会計内",,"東京都",,,"2021","11",,,,,,,,,,,,,,,,,,,,,,,
"1010405022661","一般社団法人ケーインベストメント",,,"港区元赤坂１丁目１番７－１２０９号株式会社赤坂国際会計内",,"東京都",,,"2023","11",,,,,,,,,,,,,,,,,,,,,,,
"1010405023255","千葉日の出一般社団法人",,,"港区元赤坂１丁目１番７－１２０９号株式会社赤坂国際会計内",,"東京都",,,"2024","5",,,,,,,,,,,,,,,,,,,,,,,
"1010601062040","株式会社どんぐりす",,,"江東区越中島２丁目１番３２－３０７号",,"東京都",,,"2022","10",,,,,,,,,,,,,,,,,,,,,,,
"1010601062040","株式会社どんぐりす",,,"中央区日本橋１丁目２－１０東洋ビル",,"東京都",,,"2022","10",,,,,,,,,,,,,,,,,,,,,,,
"1010601062040","株式会社どんぐりす",,,"中央区日本橋室町１丁目１１番１２号日本橋水野ビル７階",,"東京都",,,"2022","10",,,,,,,,,,,,,,,,,,,,,,,
"1010601067881","株式会社ＳＴＯＲＹＦＡＲＭ",,,"江東区東陽２丁目４番２８－７０５号",,"東京都",,,"2025","9",,,,,,,,,,,,,,,,,,,,,,,
"1010602005221","有限会社ボン商事",,,"江戸川区一之江４丁目９番６号",,"東京都",,,"2015","10",,,,,,,,,,,,,,,,,,,,,,,
"1010602017860","有限会社エムアンドエヌワークス",,,"江東区永代１丁目５番２号",,"東京都",,,"2015","10",,,,,,,,,,,,,,,,,,,,,,,
"1010901028971","株式会社エーアンドピーマネジメント",,,"大田区大森北１丁目２２番３号",,"東京都",,,"2015","10",,,,,,,,,,,,,,,,,,,,,,,
"1010901058003","ＭＥＩＳＨＩＫＩ株式会社",,,"世田谷区豪徳寺１丁目４６番１５号Ｂ１１８号室",,"東京都",,,"2025","9",,,,,,,,,,,,,,,,,,,,,,,
"1010903010226","合同会社フィオーレ",,,"世田谷区玉川台２丁目８番７号",,"東京都",,,"2025","9",,,,,,,,,,,,,,,,,,,,,,,
"1011001039224","株式会社はあと・くりにっく",,,"渋谷区宇田川町６番１１号",,"東京都",,,"2015","10",,,,,,,,,,,,,,,,,,,,,,,
"1011001134322","株式会社ｃｏｍａｔｓｕｎａ",,,"港区南青山３丁目１番３６号青山丸竹ビル６Ｆ",,"東京都",,,"2020","6",,,,,,,,,,,,,,,,,,,,,,,
"1011001159344","ナブラワークス株式会社",,,"港区西新橋１丁目１８番６号４０８号室",,"東京都",,,"2024","1",,,,,,,,,,,,,,,,,,,,,,,
"1011001164757","株式会社ＷＡＢＩＳＡＢＩ",,,"目黒区原町１丁目１６－１２",,"東京都",,,"2024","9",,,,,,,,,,,,,,,,,,,,,,,
"1011001171670","株式会社ＬＹＮ　ＪＡＰＡＮ",,,"渋谷区道玄坂１丁目１０番８号渋谷道玄坂東急ビル２Ｆ－Ｃ",,"東京都",,,"2025","9",,,,,,,,,,,,,,,,,,,,,,,
"1011001171729","株式会社Ｃｒｅｗｖｉａ",,,"渋谷区恵比寿４丁目１０番１３１３号１０１",,"東京都",,,"2025","9",,,,,,,,,,,,,,,,,,,,,,,
"1011001171737","株式会社ソリッド",,,"目黒区五本木３丁目２６番１号",,"東京都",,,"2025","9",,,,,,,,,,,,,,,,,,,,,,,
"1011003016097","合同会社ｎｉｃｏ",,,"渋谷区神宮前６丁目２３番４号桑野ビル２階",,"東京都",,,"2023","2",,,,,,,,,,,,,,,,,,,,,,,
"1011003021956","合同会社ＧｒａｎＥｄｉｔ",,,"品川区西五反田３丁目７番６－３０３号",,"東京都",,,"2025","7",,,,,,,,,,,,,,,,,,,,,,,
