配信日時,プレスリリースURL,プレスリリースタイトル,プレスリリース種類,プレスリリースカテゴリ1,プレスリリースカテゴリ2,会社名,会社URL,業種,住所,電話番号,代表者,上場区分,資本金,設立日,資本金（万円）,設立年,設立月
2025-07-01 21:10:02,https://prtimes.jp/main/html/rd/p/000000206.000032319.html,ブライトリングの2025年度サステイナビリティ・ミッション・レポート,その他,ジュエリー・アクセサリー,None,ブライトリング・ジャパン株式会社,-,商業（卸売業、小売業）,東京都港区芝公園2-2-22 芝公園ビル,0120-105-707,Schmutz Jerome,未上場,-,-,-,-,-
2025-07-01 21:04:59,https://prtimes.jp/main/html/rd/p/000000005.000161505.html,自治体・公共Week 2025出展のご案内,イベント,自動車・カー用品,交通・運送・引越し,Moplus株式会社,https://moplus.co.jp/,サービス業,東京都千代田区神田錦町2-2-1 KANDA SQUARE 11階,-,柳瀬 賢／中川 和明,未上場,-,2025年03月,-,2025,3
2025-07-01 21:01:43,https://prtimes.jp/main/html/rd/p/000001170.000030268.html,「AZKi」11月5日にNew EP『Re:Start』『Re:Birth』2枚同時リリース決定！,商品サービス,音楽,None,カバー株式会社,https://cover-corp.com/,サービス業,東京都港区,-,谷郷元昭,東証グロース,4億5280万円,2016年06月,45280,2016,6
2025-07-01 21:00:56,https://prtimes.jp/main/html/rd/p/000002240.000011305.html,【ウェスティンホテル東京】世界各国の冷製ヌードルと本格的なインド料理が一堂に会する「Summer Festival夏の祭典」ブッフェを提供,商品サービス,ホテル・旅館,レストラン・ファストフード・居酒屋,マリオット・インターナショナル　ジャパン,https://www.marriott.co.jp/,サービス業,アメリカ合衆国メリーランド州ベセスダ,-,アンソニー・カプアーノ,未上場,-,-,-,-,-
2025-07-01 21:00:02,https://prtimes.jp/main/html/rd/p/000000190.000115454.html,今がPrime day！欲しかった洗濯機が17%OFFのスペシャルプライスで登場。いつ値段が戻ってもおかしくない、このタイミングを逃したらきっと後悔しますよ！,イベント,調理・生活家電,ネットサービス,日本美的株式会社,https://midea-japan.com/company/,商業（卸売業、小売業）,大阪府大阪市港区弁天1-2-1 大阪ベイタワー10F,06-6695-7998,北本　学,未上場,1000万円,2001年09月,1000,2001,9
2025-07-01 21:00:02,https://prtimes.jp/main/html/rd/p/000001115.000056982.html,Azavana『proelium』開催記念番組に、猟牙（RAZOR）、涼太（THE MADNA）、70.（XANVALA）、伐（まみれた）、ANNIE A（CHAQLA.）生出演！7/4(金)20時～,イベント,音楽,ネットサービス,株式会社ドワンゴ ニコニコ事業本部,https://dwango.co.jp,情報通信,東京都中央区銀座4-12-15 歌舞伎座タワー,-,夏野 剛,-,1億円,1997年08月,10000,1997,8
2025-07-01 21:00:02,https://prtimes.jp/main/html/rd/p/000000006.000163509.html,プロ美容師が全面プロデュース！「PHOTO STUDIO matka.(フォトスタジオ マトカ)」が名古屋にオープン,商品サービス,広告・宣伝・PR,キッズ・ベビー・マタニティ,株式会社テルヴェ,-,サービス業,愛知県名古屋市瑞穂区瑞穂通4-48 近江ビル2F,-,藤井　晋,未上場,-,2015年01月,-,2015,1
2025-07-01 20:52:32,https://prtimes.jp/main/html/rd/p/000000004.000157585.html,エンタメ×文化！新ラジオ番組「のりのりフロンティア」スタート,その他,芸能,音楽,合同会社クラドニ,-,サービス業,東京都渋谷区千駄ヶ谷1-5-1 レガーロ千駄ヶ谷2F,-,西依美果,未上場,-,2024年12月,-,2024,12
2025-07-01 20:45:13,https://prtimes.jp/main/html/rd/p/000000253.000013190.html,【イベントレポート】東宝・GENDAが語る「推しエンタメブランドスコープ」のビジネス活用～ヒットを仕掛ける現場が明かす、“推し”の熱量を可視化する本質的なエンタメ価値,イベント,映画・演劇・DVD,漫画・アニメ,GEM Partners,https://www.gempartners.com/,サービス業,東京都港区南青山3-1-31 KD南青山ビル8,03-6826-0185,梅津　文,未上場,-,2008年03月,-,2008,3
2025-07-01 20:35:09,https://prtimes.jp/main/html/rd/p/000000389.000089615.html,ILLITが1位を獲得！CRAVITYから、i-dleソヨンのプロデュースで話題のBaby DONT Cryまで登場！『SBS人気歌謡』の最新回が「Music K」にて日本最速・独占配信スタート,商品サービス,芸能,音楽,株式会社インタラクティブメディアミックス(IMX),https://imx.ne.jp,情報通信,東京都 品川区 北品川5丁目4番14号 イマス北品川ビル4階,03-5447-8500,孫 一亨,未上場,-,2001年11月,-,2001,11
2025-07-01 20:30:01,https://prtimes.jp/main/html/rd/p/000000018.000138449.html,AIが商談創出の常識を変える ─ FlashIntel、第4回営業・マーケDXPO東京'25【夏】で革新技術を披露 ─,イベント,システム・Webサイト・アプリ開発,ネットサービス,FlashIntel Japan株式会社,https://www.flashintel.ai/,情報通信,東京都千代田区一番町10番8号,-,細井洋一,海外市場,-,2023年07月,-,2023,7
2025-07-01 20:30:01,https://prtimes.jp/main/html/rd/p/000000002.000165374.html,豊田高専発・介護DXスタートアップ「NAGARA」、STATION Aiにて本格始動。創業と同時に豊田市と連携協定、業界の第一人者・竹下康平氏もメンターに就任,経営情報,福祉・介護・リハビリ,アプリケーション・セキュリティ,株式会社NAGARA,https://nagarainc.com/,情報通信,愛知県名古屋市昭和区鶴舞1丁目2−32 STATION Ai,070-9063-0575,岡田一輝,未上場,-,2025年06月,-,2025,6
2025-07-01 20:30:01,https://prtimes.jp/main/html/rd/p/000004224.000003670.html,【Webクリエイター向け】多くのデザイナーがやってしまう致命的なミスとは？7/16（水）無料セミナー「ジェイコブ・ネルソン氏から学ぶ ユーザーテストなしで、すぐにUIデザインを改善する方法」開催,イベント,システム・Webサイト・アプリ開発,パソコンソフトウェア,クリーク･アンド･リバー社,https://www.cri.co.jp,サービス業,東京都港区新橋四丁目1番1号　 新虎通りCORE,03-4550-0008,黒崎 淳,東証プライム,11億7719万円,1990年03月,117719,1990,3
2025-07-01 20:30:01,https://prtimes.jp/main/html/rd/p/000000042.000061492.html,夏休み限定イベント！小学生が英語で楽しむ『でんきの科学館見学ツアー』7/23開催 〜外国人の先生とワクワク体験〜【愛知県名古屋市：アライブイングリッシュスクール千種校主催】,イベント,テーマパーク・遊園地,旅行・観光,株式会社アライブ,https://alive-co.com/,教育・学習支援業,愛知県名古屋市東区泉１丁目21-12 いずみ２１ビル,052-962-9288,三井博美,未上場,2200万円,2001年01月,2200,2001,1
2025-07-01 20:29:39,https://prtimes.jp/main/html/rd/p/000000207.000124454.html,株式会社セブン‐イレブン・ジャパンとAED設置に関する協定を締結しました,商品サービス,政治・官公庁・地方自治体,財団法人・社団法人・宗教法人,川崎市,https://www.city.kawasaki.jp/,官公庁・地方自治体,神奈川県川崎市川崎区宮本町1番地,044-200-2297,福田紀彦,未上場,-,-,-,-,-
2025-07-01 20:28:45,https://prtimes.jp/main/html/rd/p/000000209.000124454.html,"妊婦健康診査の助成を拡充します。補助券から受診券に変更し、助成額を46,000円増額。",商品サービス,政治・官公庁・地方自治体,出産・育児,川崎市,https://www.city.kawasaki.jp/,官公庁・地方自治体,神奈川県川崎市川崎区宮本町1番地,044-200-2297,福田紀彦,未上場,-,-,-,-,-
2025-07-01 20:27:42,https://prtimes.jp/main/html/rd/p/000000208.000124454.html,川崎市内のわくわくプラザで、学校夏季休業期間中の昼食提供サービスを実施します！,イベント,政治・官公庁・地方自治体,財団法人・社団法人・宗教法人,川崎市,https://www.city.kawasaki.jp/,官公庁・地方自治体,神奈川県川崎市川崎区宮本町1番地,044-200-2297,福田紀彦,未上場,-,-,-,-,-
2025-07-01 20:25:08,https://prtimes.jp/main/html/rd/p/000000196.000059319.html,京都の伝統と革新が融合する「IVS2025」フードエリアの詳細を公開,イベント,ネットサービス,レストラン・ファストフード・居酒屋,IVS,https://www.ivs.events/,サービス業,東京都渋谷区神宮前6-12-18 The Iceberg,-,島川敏明,未上場,10万円,2020年01月,10,2020,1
2025-07-01 20:22:18,https://prtimes.jp/main/html/rd/p/000000006.000079288.html,悪か？ヒーローか？ 赤穂浪士、吉良邸討ち入りメンバー47人全員を網羅したＴシャツの販売を開始。,商品サービス,メンズファッション,卸売・問屋,株式会社エー・ディー・ピー,https://adp3000.com/,製造業,東京都墨田区亀沢2-15-9 第1はすめビル,03-6456-1691,三ッ井　清明,未上場,500万円,1975年06月,500,1975,6
2025-07-01 20:12:32,https://prtimes.jp/main/html/rd/p/000000353.000028006.html,海鮮居酒屋「地魚屋」文月のおすすめ 7メニュー 7月1日（火）～ 7月31日（木）販売いたします,キャンペーン,レストラン・ファストフード・居酒屋,その他,焼肉坂井ホールディングス,https://ys-holdings.co.jp/,飲食店・宿泊業,愛知県名古屋市北区黒川本通2-46,052-910-1729,髙橋　仁志,東証スタンダード,1億円,1957年11月,10000,1957,11
2025-07-01 20:12:02,https://prtimes.jp/main/html/rd/p/000001520.000007785.html,宝くじ専門誌『ロト・ナンバーズ「超」的中法』のLINE公式アカウントが開設！　最新AIが導き出した各種ロトのオススメ数字や有用なコラムなど、ロトライフを手助けするお得な情報を毎日無料提供！,商品サービス,ネットサービス,雑誌・本・出版物,株式会社イマジカインフォス,http://www.infos.inc,情報通信,東京都千代田区神田小川町３－３　 HF神田小川町ビル２F ８F,03-3294-0214,前田　起也,未上場,5000万円,2000年08月,5000,2000,8
2025-07-01 20:11:09,https://prtimes.jp/main/html/rd/p/000000352.000028006.html,海鮮居酒屋「鮨のえん屋」文月のおすすめ 7メニュー 7月1日（火）～ 7月31日（木）販売いたします,キャンペーン,レストラン・ファストフード・居酒屋,その他,焼肉坂井ホールディングス,https://ys-holdings.co.jp/,飲食店・宿泊業,愛知県名古屋市北区黒川本通2-46,052-910-1729,髙橋　仁志,東証スタンダード,1億円,1957年11月,10000,1957,11
2025-07-01 20:10:02,https://prtimes.jp/main/html/rd/p/000000261.000087236.html,コント系動画が人気のYouTuber「うき本さんち」が初の居酒屋イベント『うき本酒場へ いらっしゃ〜い』を開催決定！,イベント,芸能,食品・お菓子,キャリオン,https://carry0n.co.jp/,情報通信,東京都渋谷区神宮前6-12-20 J6 Frontビル 6F,-,高田　樹,未上場,3000万円,2021年03月,3000,2021,3
2025-07-01 20:10:02,https://prtimes.jp/main/html/rd/p/000000270.000066095.html,「アベイル夏祭り」 第4弾、7/ 5（土）より開催！人気キャラクターのグッズが登場！アプリ会員限定イベントも！,商品サービス,レディースファッション,メンズファッション,株式会社しまむら,https://www.shimamura.gr.jp/,商業（卸売業、小売業）,埼玉県さいたま市大宮区北袋町1-602-1,-,高橋　維一郎,東証1部,-,1953年05月,-,1953,5
2025-07-01 20:09:32,https://prtimes.jp/main/html/rd/p/000000351.000028006.html,「ちゃんこ江戸沢」文月のおすすめ 7メニュー 7月1日（火）～ 7月31日（木）発売いたします,キャンペーン,レストラン・ファストフード・居酒屋,その他,焼肉坂井ホールディングス,https://ys-holdings.co.jp/,飲食店・宿泊業,愛知県名古屋市北区黒川本通2-46,052-910-1729,髙橋　仁志,東証スタンダード,1億円,1957年11月,10000,1957,11
2025-07-01 20:08:46,https://prtimes.jp/main/html/rd/p/000000459.000050026.html,期間限定3本セット。uka IZU Scalp Cleansing Deep & Light で夏の頭皮をすっきり！,商品サービス,スキンケア・化粧品・ヘア用品,None,株式会社ウカ,https://www.uka.co.jp,サービス業,東京都港区赤坂9-5-14 赤坂ヒルサイドハウスII 2階C,03-5843-0429,渡邉　弘幸,未上場,5000万円,2009年10月,5000,2009,10
2025-07-01 20:07:42,https://prtimes.jp/main/html/rd/p/000000099.000016700.html,【映画館でオペラを】名作オペラ『カルメン』で7/4(金)『パリ・オペラ座 IN シネマ 2025』開幕！カリスト・ビエイトによる過激で現代的な演出！エリーナ・ガランチャら世界最高の歌手陣が集結！,イベント,映画・演劇・DVD,音楽,東宝東和株式会社,http://tohotowa.co.jp/,サービス業,東京都千代田区一番町18 川喜多メモリアルビル,-,山崎　敏,未上場,-,-,-,-,-
2025-07-01 20:03:44,https://prtimes.jp/main/html/rd/p/000000047.000127995.html,【PFUブルーキャッツ石川かほく】地域に愛される地域密着のプロバレーボールチームを目指して、地域の特産品を活用したワイン造りに2025年も挑戦！,商品サービス,スポーツ,ソフトドリンク・アルコール飲料,PFUブルーキャッツ石川かほく,https://pfu-bluecats.com/,サービス業,石川県かほく市宇野気ヌ98-2,070-3968-6191,蓮池 学,未上場,-,-,-,-,-
2025-07-01 20:00:17,https://prtimes.jp/main/html/rd/p/000000338.000030100.html,9.7「K-1 WORLD MAX」代々木大会開催決定 　16名参加70kg世界T開幕戦開催！“イランの英雄”シナ・カリミアン、母国の平和訴え「9月の試合で勇気を与えたい」,イベント,スポーツ,None,K-1実行委員会,https://www.k-1.co.jp/,サービス業,東京都渋谷区神宮前6-34-20 原宿リージェンシー1F,-,大木知葉,未上場,-,-,-,-,-
2025-07-01 20:00:01,https://prtimes.jp/main/html/rd/p/000000047.000011576.html,VERDYキュレーションによる限定ポップアップストア「GUESS JEANS GIFT SHOP with FRIENDS」が7月4日(金)11時にオープン,商品サービス,レディースファッション,メンズファッション,GUESS JAPAN 合同会社,http://www.guess.co.jp,商業（卸売業、小売業）,東京都港区南青山 3-1-34 3rd MINAMI AOYAMA 10F 1002,03-6871-6788,James Park,未上場,3億8000万円,2013年02月,38000,2013,2
2025-07-01 20:00:01,https://prtimes.jp/main/html/rd/p/000000441.000031383.html,トライアンフから2026年モデルの「アイコニックな新色12色」が登場のお知らせ,商品サービス,バイク・バイク用品,広告・宣伝・PR,トライアンフモーターサイクルズジャパン株式会社,-,商業（卸売業、小売業）,東京都港区海岸3-18-1 ピアシティ芝浦ビル3階,03-6453-9810,大貫陽介,未上場,-,-,-,-,-
2025-07-01 20:00:01,https://prtimes.jp/main/html/rd/p/000000260.000087236.html,【LAZY YOGURT×ゆち유치】7月5日(土)限定！「ゆち유치」が1日店長として登場！同日よりコラボメニュー『Tiramisu』を7月31日(木)まで限定販売！！,イベント,芸能,食品・お菓子,キャリオン,https://carry0n.co.jp/,情報通信,東京都渋谷区神宮前6-12-20 J6 Frontビル 6F,-,高田　樹,未上場,3000万円,2021年03月,3000,2021,3
2025-07-01 20:00:01,https://prtimes.jp/main/html/rd/p/000001457.000011969.html,Tokyo Gal × DJ FRIP a.k.a BEATLAB全英詞ラブソング「Favorite Human」7/2(水)に配信開始！ミュージックビデオは 7/2(水) 19:00 プレミア公開。,商品サービス,音楽,芸能,株式会社STARBASE,http://starbase.jp/,サービス業,東京都 港区西麻布,-,日高良太郎,未上場,3505万円,-,3505,-,-
2025-07-01 20:00:01,https://prtimes.jp/main/html/rd/p/000000002.000164449.html,“心地いいユルさ”を届ける 新スウェットブランド「YURUGI」ストアオープン。,商品サービス,レディースファッション,メンズファッション,タナカライフスタイル株式会社,https://yurugi-lifestyle.com/,商業（卸売業、小売業）,東京都目黒区,-,田中,未上場,-,2025年05月,-,2025,5
2025-07-01 20:00:01,https://prtimes.jp/main/html/rd/p/000000025.000148782.html,タイ発ユニット“NipponBoyz ”が『世界のMUSASHI個展』に登場！,イベント,アート・カルチャー,芸能,株式会社 石富プロパティー,https://musashi-ishitomi-art.com/,医療・福祉,大阪府寝屋川市点野 3-30-4,06-6606-9638,中井 健太,未上場,1700万円,2015年02月,1700,2015,2
2025-07-01 20:00:01,https://prtimes.jp/main/html/rd/p/000004223.000003670.html,"ベトナムに日系初の会計事務所を立ち上げ、現在は1,000社を超える顧客を擁するI-GLOCALグループ代表・蕪木優典氏を特集　アカウンタンツマガジン78号発刊",商品サービス,財務・経理,雑誌・本・出版物,クリーク･アンド･リバー社,https://www.cri.co.jp,サービス業,東京都港区新橋四丁目1番1号　 新虎通りCORE,03-4550-0008,黒崎 淳,東証プライム,11億7719万円,1990年03月,117719,1990,3
2025-07-01 20:00:01,https://prtimes.jp/main/html/rd/p/000000017.000044318.html,【初企画／能登の未来へ甘いエールを】のとじま水族館 × ANAクラウンプラザホテル金沢 復興支援コラボレーションスイーツ企画始動,商品サービス,ホテル・旅館,食品・お菓子,ANAクラウンプラザホテル金沢,https://www.anacrowneplaza-kanazawa.jp,飲食店・宿泊業,富山県富山市大手町2-3 ホテル所在地　金沢市昭和町16-3,-,玉置 滋憲,未上場,-,2010年10月,-,2010,10
2025-07-01 19:58:17,https://prtimes.jp/main/html/rd/p/000000013.000123811.html,7月7日(月)・8日(火)は名物・手羽先が１本17円！『名古屋大酒場だるま』 17周年記念キャンペーン開催,イベント,レストラン・ファストフード・居酒屋,広告・宣伝・PR,株式会社かぶらやグループ,http://www.kaburaya-group.co.jp,飲食店・宿泊業,愛知県名古屋市中区千代田4丁目2番7号,052-332-1388,榎本　渉,未上場,1000万円,1995年05月,1000,1995,5
2025-07-01 19:47:04,https://prtimes.jp/main/html/rd/p/000000036.000075961.html,〜馬に乗ると旅はもっと楽しくなる〜　馬×旅のフリーマガジン馬旅2025夏号をリリース,商品サービス,スポーツ,旅行・観光,特定非営利活動法人日本乗馬普及協会,https://nihonjoba.org,サービス業,愛知県豊橋市西幸町字浜池333-9 豊橋サイエンスコア109,0532-43-6746,戸苅　宏元,未上場,-,2021年03月,-,2021,3
2025-07-01 19:42:17,https://prtimes.jp/main/html/rd/p/000000257.000132788.html,【Husbzort電動マッサージャー】期間限定最大43%OFF＆さらに5%OFFクーポン,商品サービス,健康・美容家電,EC・通販,JOYCHOU INDUSTRIAL HONG KONG CO.， LIMITED,-,商業（卸売業、小売業）,RM.1801，EASEY COMM. BLDG.，253-261 HENNESSY ROAD，WANCHAIHK,070-2336-2111,チョウ ダンセイ,未上場,-,2020年07月,-,2020,7
2025-07-01 19:40:16,https://prtimes.jp/main/html/rd/p/000000039.000102171.html,漁網から新ユニフォーム。廃漁網由来生地が仙台うみの杜水族館の新ユニフォームに初採用,商品サービス,環境・エコ・リサイクル,テーマパーク・遊園地,amu,https://www.amu.co.jp/,商業（卸売業、小売業）,宮城県気仙沼市南町2-2-25,-,加藤広大,未上場,1010万円,2021年09月,1010,2021,9
2025-07-01 19:33:40,https://prtimes.jp/main/html/rd/p/000000017.000156996.html,「ちいかわ」初のスマホアプリ『ちいかわぽけっと』　ついに『ちいぽけ』にキャラクターボイスが７月1日（火）に実装！,商品サービス,スマートフォンアプリ,スマートフォンゲーム,株式会社アプリボット,https://www.applibot.co.jp/,情報通信,東京都渋谷区宇田川町40番1号 Abema Towers,-,浮田光樹,未上場,-,-,-,-,-
2025-07-01 19:30:01,https://prtimes.jp/main/html/rd/p/000000299.000021008.html,乃木坂46の公式ファンクラブ「乃木坂46 Mobile」限定配信！ここでしか聴けないWEBラジオ「のぎモバ ステーション」配信開始,商品サービス,ネットサービス,芸能,株式会社CAM,https://www.cam-inc.co.jp/,情報通信,東京都渋谷区宇田川町40-1 Abema Towers,03-6415-3400,須田 瞬海,未上場,1億100万円,2000年05月,10100,2000,5
2025-07-01 19:29:48,https://prtimes.jp/main/html/rd/p/000000001.000165386.html,素麺の日にちなんで素麺を77円！「素麺屋糸 歌舞伎町本店」が特別イベントを開催,イベント,レストラン・ファストフード・居酒屋,広告・宣伝・PR,NEXVISION株式会社,https://www.hotpepper.jp/strJ003324038/,飲食店・宿泊業,東京都新宿区歌舞伎町2-26-10 2F,03-6457-6789,沼野純也,未上場,500万円,2018年12月,500,2018,12
2025-07-01 19:29:09,https://prtimes.jp/main/html/rd/p/000003015.000024668.html,【大磯ロングビーチ】心躍る全長1kmのウォーターフィールドで最高の夏がはじまる湘南を代表するリゾートプール「大磯ロングビーチ」がいよいよオープン！！,その他,ホテル・旅館,テーマパーク・遊園地,株式会社西武・プリンスホテルズワールドワイド,https://www.princehotels.co.jp/,サービス業,東京都豊島区南池袋1‐16‐15 ダイヤゲート池袋,03-5928-1111,金田佳季,-,1億円,2021年12月,10000,2021,12
2025-07-01 19:28:20,https://prtimes.jp/main/html/rd/p/000000188.000115454.html,年に一度のチャンスが先行スタート！プライムデー先行セール開催中！Comfee' 人気商品が今だけの特別価格に。このタイミングを逃すと損かも！？欲しいものは今すぐチェック！,キャンペーン,調理・生活家電,その他,日本美的株式会社,https://midea-japan.com/company/,商業（卸売業、小売業）,大阪府大阪市港区弁天1-2-1 大阪ベイタワー10F,06-6695-7998,北本　学,未上場,1000万円,2001年09月,1000,2001,9
2025-07-01 19:22:51,https://prtimes.jp/main/html/rd/p/000000028.000042561.html,Japan Innovation Network代表理事 紺野登、欧州ドラッカー協会よりシニアフェローの称号を授与,イベント,経営・コンサルティング,シンクタンク,一般社団法人Japan Innovation Network,http://ji-network.org/,財団法人・社団法人・宗教法人,東京都港区新橋1-1-13 アーバンネット内幸町ビル3階　CROSS COOP内,03-5510-7188,紺野登,未上場,-,2013年07月,-,2013,7
2025-07-01 19:22:07,https://prtimes.jp/main/html/rd/p/000000001.000163536.html,粉体処理技術で未来を拓く日本アイリッヒ、名古屋に研究開発拠点を着工,経営情報,鉄鋼・金属・ガラス・土石・ゴム,化学,日本アイリッヒ株式会社,https://www.nippon-eirich.co.jp/,製造業,愛知県名古屋市西区名駅3-9-37 合人社名駅3ビル,052-533-2577,内藤　雅元,未上場,9500万円,1974年04月,9500,1974,4
2025-07-01 19:21:19,https://prtimes.jp/main/html/rd/p/000000038.000056625.html,TimeTactを提供する株式会社Study Valley、探究学習の指導案生成機能を新たに追加～教員の授業準備負荷を大幅軽減～,商品サービス,学校・大学,ネットサービス,株式会社Study Valley,https://www.studyvalley.jp/,教育・学習支援業,東京都江戸川区中葛西5-20-14 水戸ビル 2F,-,田中悠樹,未上場,500万円,2020年01月,500,2020,1
2025-07-01 19:17:39,https://prtimes.jp/main/html/rd/p/000000036.000056625.html,株式会社 Study Valley、探究学習支援 AI によるフィードバック件数が 8 万件を突破,商品サービス,学校・大学,ネットサービス,株式会社Study Valley,https://www.studyvalley.jp/,教育・学習支援業,東京都江戸川区中葛西5-20-14 水戸ビル 2F,-,田中悠樹,未上場,500万円,2020年01月,500,2020,1
2025-07-01 19:12:04,https://prtimes.jp/main/html/rd/p/000000254.000038561.html,H.C.栃木日光アイスバックス 新体制記者会見を実施,人物,スポーツ,None,株式会社栃木日光アイスバックス,https://www.icebucks.jp/,サービス業,栃木県日光市松原町17-1,0288-53-5166,セルジオ越後,未上場,3300万円,2007年03月,3300,2007,3
2025-07-01 19:10:01,https://prtimes.jp/main/html/rd/p/000000008.000112994.html,おどる、つながる、ひとつのまちに。 「中目黒盆踊り大会 2025」開催決定,イベント,その他,財団法人・社団法人・宗教法人,一般社団法人ナカメエリアマネジメント,https://nakame.org,サービス業,東京都目黒区上目黒1-23-1 5F,-,柏井栄一,未上場,-,2020年10月,-,2020,10
2025-07-01 19:06:42,https://prtimes.jp/main/html/rd/p/000000803.000022933.html,Qoo10、「G-DRAGON MEDIA EXHIBITION : Übermensch」のチケットを独占販売！　開催：7/1２（土）～7/21（月）、会場：新宿住友ビル三角広場,商品サービス,EC・通販,芸能,eBay Japan合同会社,http://www.qoo10.jp/,サービス業,東京都港区港南1-6-41 芝浦クリスタル品川9階,03-6736-5997,グ ジャヒョン,未上場,6億円,2005年12月,60000,2005,12
